,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
"anacite ion cannon, aurora",Heavy,8,10900,2,-,Shock,2d10,E,45,Staggered,-,40,4,Battery charge,-,2,"Line, lockdown, unwieldy",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anacite ion cannon, static",Heavy,3,1550,2,-,Shock,1d10,E,20,Staggered,-,20,2,Battery charge,-,2,"Line, lockdown, unwieldy",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anacite ion cannon, storm",Heavy,13,52900,2,-,Shock,4d10,E,75,Staggered,-,80,5,Battery charge,-,2,"Line, lockdown, unwieldy",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anacite ion cannon, tempest",Heavy,18,441000,2,-,Shock,6d10,E,100,Staggered,-,100,10,Battery charge,-,2,"Line, lockdown, unwieldy",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anchor pistol, emergent",Small Arms,9,13200,1,-,Shock,2d6,E,40,Bind,-,40,4,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anchor pistol, flux",Small Arms,20,814000,1,-,Shock,8d6,E,60,Bind,-,80,5,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anchor pistol, inductive",Small Arms,15,108000,1,-,Shock,4d6,E,40,Bind,-,80,4,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"anchor pistol, voltaic",Small Arms,4,2100,1,-,Shock,1d6,E,40,Bind,-,40,2,Battery charge,-,L,Nonlethal,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"angel wing, astral",Advanced Melee,10,17100,1,-,Plasma,4d6,E & F,-,Burn,2d6,20,2,Battery charge,-,L,"Powered, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"angel wing, monadic",Advanced Melee,7,5500,1,-,Plasma,2d6,E & F,-,Burn,2d6,20,2,Battery charge,-,L,"Powered, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"angel wing, movanic",Advanced Melee,4,1890,1,-,Plasma,1d6,E & F,-,Burn,1d6,20,2,Battery charge,-,L,"Powered, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc caster, aurora",Heavy,5,3160,2,-,Shock,2d6,E,60,Second arc,1d6,40,2,Battery charge,-,2,"First arc 1d6, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc caster, static",Heavy,1,375,2,-,Shock,1d8,E,60,Second arc,1d6,20,2,Battery charge,-,2,"First arc 1d6, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc caster, storm",Heavy,11,25600,2,-,Shock,5d6,E,80,Second arc,2d6,40,4,Battery charge,-,2,"First arc 2d6, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc caster, tempest",Heavy,17,262000,2,-,Shock,10d6,E,80,Second arc,4d6,40,5,Battery charge,-,2,"First arc 4d6, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc emitter, advanced",Longarms,9,13200,2,-,Shock,2d4,E,40,-,-,40,10,Battery charge,-,1,"Blast, stun, unwieldy",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc emitter, tactical",Longarms,2,750,2,-,Shock,1d4,E,15,-,-,20,4,Battery charge,-,1,"Blast, stun, unwieldy",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc pistol, aurora",Small Arms,13,45700,1,-,Shock,3d6,E,50,Arc,2d6,40,2,Battery charge,-,L,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc pistol, static",Small Arms,2,750,1,-,Shock,1d6,E,50,Arc,2,20,2,Battery charge,-,L,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc pistol, storm",Small Arms,18,365600,1,-,Shock,3d12,E,50,Arc,4d6,100,10,Battery charge,-,L,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc rifle, aurora",Longarms,11,24500,2,-,Shock,2d12,E,70,Arc,2d6,40,1,Battery charge,-,2,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc rifle, static",Longarms,6,4200,2,-,Shock,1d12,E,70,Arc,1d6,40,1,Battery charge,-,2,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc rifle, storm",Longarms,16,190300,2,-,Shock,4d12,E,80,Arc,4d6,80,2,Battery charge,-,2,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"arc rifle, tempest",Longarms,19,622000,2,-,Shock,6d12,E,80,Arc,6d6,100,2,Battery charge,-,2,Stun,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, aphelion",Heavy,9,14300,2,-,Laser,3d8,F,120,Burn,1d6,40,4,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, azimuth",Heavy,1,425,2,-,Laser,1d10,F,120,Burn,1d6,20,2,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, corona",Heavy,6,4650,2,-,Laser,2d8,F,120,Burn,1d6,40,4,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, parallax",Heavy,17,248000,2,-,Laser,7d8,F,150,Burn,4d6,100,5,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, perihelion",Heavy,13,53800,2,-,Laser,4d8,F,130,Burn,2d6,100,5,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"artillery laser, zenith",Heavy,20,722000,2,-,Laser,9d8,F,150,Burn,5d6,100,5,Battery charge,-,3,Penetrating,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assassin rifle, phantom",Sniper,9,14900,2,-,Projectile,3d6,P,60,-,-,1,1,Rounds,-,1,"Breakdown, sniper (600 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assassin rifle, shadow",Sniper,6,4550,2,-,Projectile,2d6,P,60,-,-,1,1,Rounds,-,1,"Breakdown, sniper (500 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assassin rifle, spectre",Sniper,12,39500,2,-,Projectile,5d6,P,70,-,-,1,1,Rounds,-,1,"Breakdown, sniper (750 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assassin rifle, stalker",Sniper,3,1510,2,-,Projectile,1d10,P,60,-,-,1,1,Rounds,-,1,"Breakdown, sniper (250 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assassin rifle, wraith",Sniper,17,278000,2,-,Projectile,11d6,P,70,-,-,1,1,Rounds,-,1,"Breakdown, sniper (1,000 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"assault rifle, ag",Longarms,3,1400,2,-,Projectile,1d8,P,80,-,-,12,1,Rounds,-,1,Automatic,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aurora cannon, electron",Heavy,10,18200,2,-,Laser,6d4,E & F,120,Blind,-,40,2,Battery charge,-,2,Aurora,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aurora cannon, hydrogen",Heavy,5,3100,2,-,Plasma,2d4,E & F,100,Blind,-,40,2,Battery charge,-,2,Aurora,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"aurora cannon, proton",Heavy,17,258000,2,-,Laser,15d4,E & F,120,Blind,-,40,2,Battery charge,-,2,Aurora,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam artillery, advanced",Heavy,16,145700,2,-,Laser,4d8,F,120,Burn,2d8,40,1,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam artillery, elite",Heavy,19,543300,2,-,Laser,6d8,F,120,Burn,2d10,40,1,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam artillery, tactical",Heavy,10,19400,2,-,Laser,2d8,F,120,Burn,1d8,40,1,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam rifle, advanced",Longarms,15,95500,2,-,Laser,7d4,F,60,Burn,3d4,100,10,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam rifle, elite",Longarms,19,548100,2,-,Laser,12d4,F,60,Burn,5d4,100,5,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"autobeam rifle, tactical",Longarms,11,26900,2,-,Laser,5d4,F,60,Burn,2d4,40,4,Battery charge,-,2,Automatic,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
autotarget rifle,Longarms,2,755,2,-,Projectile,1d6,P,60,-,-,10,1,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"baton, advanced",Basic Melee,19,540000,1,-,Uncategorized,8d6,B,-,-,-,20,1,Battery charge,-,L,"Operative, powered",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"baton, tactical",Basic Melee,1,90,1,-,Uncategorized,1d4,B,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battle ribbon, microedge",Advanced Melee,8,9400,2,-,Uncategorized,3d8,S,-,Wound,-,-,-,-,-,1,"Analog, operative, professional (dancer)",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battle ribbon, traditional",Advanced Melee,3,270,2,-,Uncategorized,1d8,S,-,-,-,-,-,-,-,1,"Analog, operative, professional (dancer)",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battle ribbon, zeroedge",Advanced Melee,12,35200,2,-,Uncategorized,5d8,S,-,Severe wound,-,-,-,-,-,1,"Analog, operative, professional (dancer)",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battleaxe, tactical",Advanced Melee,5,2650,1,-,Uncategorized,1d8,S,-,Wound,-,-,-,-,-,1,Analog,AP01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battlebow, advanced",Special,8,8750,2,-,Uncategorized,2d8,P,120,-,-,Drawn,1,Arrows,-,1,"Analog, archaic, quick reload",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battlebow, elite",Special,12,31000,2,-,Uncategorized,3d8,P,120,-,-,Drawn,1,Arrows,-,1,"Analog, archaic, quick reload",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battlebow, paragon",Special,16,150000,2,-,Uncategorized,6d8,P,120,-,-,Drawn,1,Arrows,-,1,"Analog, archaic, quick reload",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battlebow, tactical",Special,4,1900,2,-,Uncategorized,1d8,P,120,-,-,Drawn,1,Arrows,-,1,"Analog, archaic, quick reload",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battleglove, cestus",Basic Melee,1,100,1,-,Uncategorized,1d4,B,-,-,-,-,-,-,-,L,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battleglove, gravity",Basic Melee,17,214850,1,-,Uncategorized,5d10,B,-,-,-,20,1,Battery charge,-,L,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battleglove, nova",Basic Melee,13,52500,1,-,Uncategorized,3d10,B,-,-,-,20,1,Battery charge,-,L,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"battleglove, power",Basic Melee,10,16100,1,-,Uncategorized,2d8,B,-,-,-,20,1,Battery charge,-,L,Powered,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"binding blaster, globe",Small Arms,9,13900,1,-,Uncategorized,2d6,B,30,Bind,-,40,4,Battery charge,-,L,"Force, stun",AP26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"binding blaster, orb",Small Arms,5,3100,1,-,Uncategorized,1d6,B,30,Bind,-,20,2,Battery charge,-,L,"Force, stun",AP26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze rifle, firedrakeclass",Longarms,16,153000,2,-,Flame,5d10,F,60,Burn,4d6,40,2,Petrol,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze rifle, hellhoundclass",Longarms,11,23200,2,-,Flame,3d10,F,60,Burn,3d6,40,2,Petrol,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze rifle, ifritclass",Longarms,4,1900,2,-,Flame,1d10,F,40,Burn,1d6,40,2,Petrol,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze rifle, phoenixclass",Longarms,20,765000,2,-,Flame,9d10,F,80,Burn,5d6,40,2,Petrol,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze rifle, salamanderclass",Longarms,7,5800,2,-,Flame,2d8,F,60,Burn,2d6,40,2,Petrol,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze scimitar, acolyte",Advanced Melee,2,740,2,-,Flame,1d6,F,-,Burn,1d6,20,1,Battery charge,-,1,"Bright, powered",AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze scimitar, cleric",Advanced Melee,12,34600,2,-,Flame,4d6,F,-,Burn,2d6,40,2,Battery charge,-,1,"Bright, powered",AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze scimitar, disciple",Advanced Melee,8,9200,2,-,Flame,2d6,F,-,Burn,1d8,20,1,Battery charge,-,1,"Bright, powered",AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blaze scimitar, divine",Advanced Melee,16,162000,2,-,Flame,8d6,F,-,Burn,2d8,40,2,Battery charge,-,1,"Bright, powered",AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blindmark rifle, banshee",Longarms,19,585000,2,-,Sonic,8d8,So,120,Sicken,-,80,10,Battery charge,-,1,"Echo, stun",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blindmark rifle, hfd",Longarms,13,51000,2,-,Sonic,4d8,So,100,Sicken,-,40,8,Battery charge,-,1,"Echo, stun",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blindmark rifle, lfd",Longarms,8,9800,2,-,Sonic,2d8,So,80,-,-,40,5,Battery charge,-,1,"Echo, stun",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"blindmark rifle, thunderstrike",Longarms,3,1400,2,-,Sonic,2d4,So,60,-,-,20,2,Battery charge,-,1,"Echo, stun",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone cestus, austere",Basic Melee,2,600,1,-,Uncategorized,1d6,P,-,Bleed,1d4,-,-,-,-,L,Analog,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone cestus, measured",Basic Melee,7,5500,1,-,Uncategorized,2d6,P,-,Bleed,1d6,-,-,-,-,L,Analog,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone cestus, severe",Basic Melee,17,230000,1,-,Uncategorized,8d6,P,-,Bleed,5d6,-,-,-,-,L,Analog,AA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone pistol, cryptclass",Small Arms,6,4350,1,-,Cryo,1d6,C,40,-,-,20,4,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone pistol, graveclass",Small Arms,3,900,1,-,Cryo,1d4,C,40,-,-,20,4,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone pistol, sepulcherclass",Small Arms,11,25500,1,-,Cryo,2d8,C,40,-,-,20,4,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone pistol, vaultclass",Small Arms,18,591000,1,-,Cryo,5d8,C,40,-,-,40,4,Battery charge,-,L,Antibiological,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone scepter, cadaver",Advanced Melee,19,598000,1,-,Cryo,12d6,C,-,Leech,-,-,-,-,-,L,"Analog, antibiological",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone scepter, chill",Advanced Melee,3,1490,1,-,Cryo,1d6,C,-,Leech,-,-,-,-,-,L,"Analog, antibiological",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone scepter, rigor",Advanced Melee,13,51800,1,-,Cryo,5d6,C,-,Leech,-,-,-,-,-,L,"Analog, antibiological",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"bone scepter, void",Advanced Melee,8,9850,1,-,Cryo,2d6,C,-,Leech,-,-,-,-,-,L,"Analog, antibiological",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"boomer rifle, concussive",Longarms,11,24000,2,-,Sonic,4d6,So,40,Knockdown,-,15,5,Shells,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"boomer rifle, rumbler",Longarms,6,4100,2,-,Sonic,2d6,So,40,Deafen,-,12,4,Shells,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"boomer rifle, shockwave",Longarms,17,230000,2,-,Sonic,8d6,So,40,Knockdown,-,20,5,Shells,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"boomer rifle, tremor",Longarms,2,520,2,-,Sonic,1d8,So,40,Deafen,-,12,3,Shells,-,1,Analog,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bow,Special,1,255,2,-,Uncategorized,1d6,P,60,-,-,1,1,Arrows,-,1,Quick reload,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"breaching gun, grapeshot",Longarms,19,509000,2,-,Projectile,10d10,P,30,Knockdown,-,20,2,Shells,-,1,"Analog, breach, penetrating",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"breaching gun, impact",Longarms,11,25300,2,-,Projectile,3d10,P,30,Knockdown,-,12,2,Shells,-,1,"Analog, breach, penetrating",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"breaching gun, snub",Longarms,7,6800,2,-,Projectile,2d10,P,20,Knockdown,-,8,2,Shells,-,1,"Analog, breach, penetrating",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"breaching gun, utility",Longarms,4,2350,2,-,Projectile,1d10,P,20,Knockdown,-,4,1,Shells,-,1,"Analog, breach, penetrating",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"breaching gun, vortex",Longarms,15,119000,2,-,Projectile,6d10,P,30,Knockdown,-,16,2,Shells,-,1,"Analog, breach, penetrating",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burner, firedrakeclass",Heavy,16,158000,2,-,Flame,6d10,F,60,Burn,4d6,40,4,Petrol,-,2,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burner, hellhoundclass",Heavy,11,23800,2,-,Flame,3d10,F,50,Burn,3d6,40,4,Petrol,-,2,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burner, ifritclass",Heavy,3,1300,2,-,Flame,1d10,F,30,Burn,1d6,40,4,Petrol,-,2,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burner, phoenixclass",Heavy,20,795000,2,-,Flame,10d10,F,75,Burn,5d6,40,4,Petrol,-,2,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burner, salamanderclass",Heavy,7,6050,2,-,Flame,2d10,F,40,Burn,2d6,40,4,Petrol,-,2,"Line, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burning chains, archdevilclass",Advanced Melee,16,178000,2,-,Flame,5d12,F,-,Fatigue,-,20,1,Petrol,-,2,"Analog, disarm, fueled, reach, trip",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burning chains, fiendclass",Advanced Melee,3,1450,2,-,Flame,1d8,F,-,Fatigue,-,20,1,Petrol,-,2,"Analog, disarm, fueled, reach, trip",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"burning chains, malebrancheclass",Advanced Melee,9,13900,2,-,Flame,2d8,F,-,Fatigue,-,20,1,Petrol,-,2,"Analog, disarm, fueled, reach, trip",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"capture pole, apprehensionclass",Advanced Melee,7,6600,2,-,Uncategorized,2d8,P,-,Injection DC +2,-,-,-,-,-,L,"Grapple, injection, reach",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"capture pole, dominationclass",Advanced Melee,17,256500,2,-,Uncategorized,7d12,P,-,Injection DC +2,-,-,-,-,-,L,"Grapple, injection, reach",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"capture pole, enforcementclass",Advanced Melee,2,325,2,-,Uncategorized,1d8,P,-,Injection DC +2,-,-,-,-,-,L,"Grapple, injection, reach",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"capture pole, imprisonmentclass",Advanced Melee,12,36300,2,-,Uncategorized,6d6,P,-,Injection DC +2,-,-,-,-,-,L,"Grapple, injection, reach",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"capture pole, overlordclass",Advanced Melee,20,855000,2,-,Uncategorized,15d8,P,-,Injection DC +2,-,-,-,-,-,L,"Grapple, injection, reach",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
carbonedge shuriken (10),Special,1,85,1,-,Uncategorized,1d4,P,10,Bleed,1d4,-,-,-,-,-,"Quick reload, thrown",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
